题号,题目,选项A,选项B,选项C,选项D,答案
1,以下哪项是深度学习的典型应用场景？,线性回归,图像风格迁移,决策树分类,K-means聚类,B
2,以下激活函数中，输出范围为(0，1)的是：,ReLU,Sigmoid,Tanh,线性函数,B
3,传统机器学习与深度学习的区别包括：,深度学习依赖更多数据,传统机器学习自动提取特征,深度学习训练时间更短,传统机器学习模型复杂度更高,A
4,梯度下降算法中，学习率的作用是：,控制参数更新步长,计算损失函数值,选择激活函数类型,决定网络层数,A
5,以下哪项不是神经网络的组成部分？,损失函数,激活函数,卷积核,反向传播,C
6,对于二分类任务，输出层通常使用的激活函数是：,Sigmoid,ReLU,Tanh,Softmax,A
7,以下哪项是深度学习的特点？,依赖人工特征工程,适合小数据场景,模型参数数量较少,强大的表达能力,D
8,反向传播算法主要用于：,计算正向传播结果,更新模型参数,设计网络结构,选择损失函数,B
9,LeNet5的第一个卷积层输出通道数是：,1,6,16,256,B
10,AlexNet中用于防止过拟合的技术是：,平均池化,Dropout,Sigmoid激活,全连接层,B
11,YOLO v1的置信度计算公式包含：,分类概率和IoU的乘积,Pr(Object)和分类概率的和,Pr(Object)与IoU的乘积,仅IoU,C
12,以下哪项是池化层的作用？,增加通道数,降低数据维度,提取局部特征,计算交并比,B
13,卷积操作中，输入尺寸为5×5，卷积核3×3，步长2，填充1，输出尺寸为：,2×2,3×3,4×4,5×5,B
14,图像处理中，步长（stride）为2时，特征图尺寸会：,减半,不变,翻倍,减少1/4,A
15,YOLO v1的损失函数中，定位误差的权重通常：,小于分类误差,等于分类误差,大于分类误差,与置信度无关,C
16,经典CNN模型中，首次使用ReLU激活的是：,LeNet5,AlexNet,YOLO v1,ResNet,B
17,以下哪项是LSTM独有的结构？,卷积层,门机制,池化层,残差连接,B
18,双向RNN的输出合并方式是？,相加,相乘,拼接,取平均值,C
19,多层RNN的主要作用是？,减少计算量,多次提取序列特征,加快训练速度,解决梯度爆炸,B
20,命名实体识别任务通常使用的损失函数是？,均方误差,交叉熵,绝对值损失,对比损失,B
21,PyTorch中，LSTM的输入形状为[batch_size， seq_len， embed_size]时，需设置哪个参数为True？,num_layers,batch_first,dropout,bidirectional,B
22,CRF层的转移矩阵用于约束？,词向量维度,标签之间的转移关系,句子长度,模型层数,B
23,在LSTM中，遗忘门的作用是？,过滤新信息,过滤旧信息,控制输出内容,控制梯度方向,B
24,命名实体识别任务的评价指标不包括？,准确率,召回率,F1值,均方误差,D
25,以下不属于Seq2Seq应用的是：,文本分类,机器翻译,文本摘要,聊天机器人,A
26,编码器的主要作用是：,生成目标序列,压缩输入序列信息,计算注意力权重,预测结束符,B
27,Teaching force技术的核心目的是：,加快模型训练速度,平衡训练与预测的差异,减少计算资源消耗,提高模型参数量,B
28,注意力机制主要解决了什么问题？,梯度消失问题,长距离依赖信息丢失,过拟合问题,词向量维度不足,B
29,解码器的初始隐藏状态通常来自：,随机初始化,编码器的第一个隐藏状态,编码器的最后一个隐藏状态,全零向量,C
30,以下哪种模型适合作为编码器？,CNN,Transformer,全连接网络,以上均可,D
31,在注意力计算中，softmax的作用是：,归一化注意力分数,增加非线性,降低计算复杂度,防止梯度爆炸,A
32,若解码器输出维度为500，表示：,词向量维度500,词汇表大小500,隐藏层神经元数500,注意力头数500,B
33,深度学习可以理解为多层的（）模型，其核心是能够通过非线性激活函数拟合复杂的曲面。,决策树,神经网络,逻辑回归,聚类模型,B
34,传统机器学习依赖（）人工提取特征，而深度学习通过多层网络自动提取特征。,数据清洗,模型调优,特征工程,结果评估,C
35,激活函数的作用是引入非线性，增强模型的表达能力，简单理解为将神经网络中的直线 “掰弯”，该描述体现了激活函数可以（）模型仅线性表达能力。,弱化,拓展,固定,打破,D
36,梯度下降算法的核心思想类似于（）的过程，每次沿损失函数下降最快的方向更新参数。,下山,爬坡,绕行,停留,A
37,反向传播算法的核心目标是计算损失函数对模型参数的（）。,均值,极值,方差,梯度,D
38,在神经网络中，分类任务的输出层常用激活函数是（）。,Sigmoid,ReLU,Softmax,Tanh,C
39,交叉熵损失函数通常用于（）任务，均方误差损失函数常用于回归任务。,回归,分类,聚类,降维,B
40,神经网络的训练需要依赖（）来量化模型预测值与真实值的差距。,激活函数,卷积运算,损失函数,池化操作,C
41,________目的是改善图像质量，使图像更加符合人类的视觉效果，从而提高图像判读和识别效果的处理方法。,图像增强,图像变换,图像分割,图像复原,A
42,________是指当观察目标和背景时，会感到背景较暗的目标物较亮，而背景较亮的目标物则较暗。,视觉适应性,同时对比效应,视觉效应,视觉错觉,B
43,________是空间（时间）和频率的局部变换，因而能有效地从信号中提取信息。,余弦变换,傅里叶变换,小波变换,平移变换,C
44,________的目的就是突出图像的边缘和轮廓信息，使图像看起来比较清晰。,空间平滑,中值滤波,空间放大,空间锐化,D
45,当需要提高特定范围的亮度时，可以采用_________的方法。,灰度求反,灰度扩展,灰度切割,灰度反转,C
46,________是图像在获取过程中，由于成像系统本身具有非线性、拍摄角度等因素的影响，产生的图像失真。,图像退化,外部畸变,几何失真,内部畸变,C
47,_________利用人眼对图像中的某些频率成分不敏感的特性，允许压缩过程中损失一定信息。不能完全恢复原始数据，但所损失的部分对理解原始图像的影响较小。,无损压缩,有损压缩,深度压缩,以上都对,B
48,_________采用比特数可变的方法来编码，其编码过程就是根据信源符号的概率对区间进行逐步划分的过程。,算术编码,哈夫曼编码,行程编码,变换编码,A
49,_________文件是一种 Windows 操作系统采用的点阵式的图像文件格式，在 Windows 系统下运行的所有图像处理软件都支持这种格式。,BMP,JPEG,GIF,以上都对,A
50,_________根据需要将图像划分为若干个特定的、具有独特性质的区域、并提取出感兴趣目标的图像处理技术。,阈值分割,区域分割,区域生长,边缘分割,B
51,一幅灰度级均匀分布的图象，其灰度范围在 [0，255]，则该图象的信息量为：,0,255,6,8,D
52,图象与灰度直方图间的对应关系是：,一一对应,多对一,一对多,都不对,B
53,下列算法中属于局部处理的是：,灰度线性变换,二值化,傅立叶变换,中值滤波,D
54,下列算法中属于点处理的是：,梯度锐化,二值化,傅立叶变换,中值滤波,B
55,一曲线的方向链码为 12345，则曲线的长度为,5,6,5.83,6.24,D
56,下列算法中属于图象平滑处理的是：,梯度锐化,直方图均衡,中值滤波,Laplacian增强,C
57,下列图象边缘检测算子中抗噪性能最好的是：,梯度算子,Prewitt算子,Roberts算子,Laplacian算子,B
58,采用模板［-1 1］主要检测____方向的边缘。,水平,45°,垂直,135°,C
59,二值图象中分支点的连接数为：,0,1,2,3,D
60,对一幅 100×100 像元的图象，若每像元用８bit 表示其灰度值，经霍夫曼编码后压缩图象的数据量为 40000bit，则图象的压缩比为：,2:1,3:1,4:1,1:2,A
61,（）是指由外部轮廓线条构成的矢量图，即由计算机绘制的直线、圆、矩形、曲线、图表等。,图像,位图,图形,像素,C
62,图像根据色彩分为：彩色图像、（）和（）。,灰度图像、二值图像,黑白图像、单色图像,位图图像、矢量图像,灰度图像、彩色图像,A
63,对一幅连续图像 f (x，y) 在二维空间上的离散化过程称为（），离散化后的采样点称为（）。,量化；灰度,采样；像素,采样；灰度,量化；像素,B
64,图像分辨率包括（）和（）两部分，它们分别由采样点数和灰度级来控制。,时间分辨率、灰度分辨率,采样分辨率、量化分辨率,空间分辨率、灰度分辨率,空间分辨率、时间分辨率,C
65,普通彩色图像中，一个像素需要 24 比特构成，R、G、B 各占 () 个比特，可能的颜色数有 () 种。,16；2^16,8；2^24,12；2^12,8；24,B
66,RGB 模型，也叫 ()、()、() 模型，广泛用于彩色显示器，高质量彩色摄像机中。,青、品、黄,色调、饱和度、亮度,红、绿、蓝,红、黄、蓝,C
67,在 HSI 空间中，彩色图像包含色调、() 和 () 三个分量。,饱和度、对比度,灰度、亮度,对比度、亮度,饱和度、亮度,D
68,() 是一种线性的积分变换，常在将信号在时域（或空域）和频域之间变换时使用，在物理学和工程学中有许多应用。,小波变换,灰度变换,傅里叶变换,离散变换,C
69,灰度变换是数字图像增强技术的一个重要的手段，目的是使图像的 () 动态范围扩大，图像的 () 扩大，图像更加清晰，特征越发明显。,灰度，对比度,对比度，灰度,亮度，灰度,亮度，对比度,A
70,图像的退化由系统特性和 () 两部分引起。,光照,模糊,畸变,噪声,D
71,() 是利用图像数据的冗余进行压缩，可完全恢复原始数据而不引起任何失真，压缩率受冗余度的理论限制。,混合压缩,无损压缩,有损压缩,量化压缩,B
72,() 的目的是简化或改变图像的表示形式，使得图像更容易理解和分析。,图像增强,图像复原,图像分割,图像压缩,C
