题号,题目,答案
1, 深度学习模型在数据量较少时表现优于传统机器学习模型。,False
2,ReLU 激活函数的输出范围为 (-1,1)。,False
3, 梯度下降算法通过不断迭代寻找损失函数的最小值。,True
4, 交叉熵损失函数可以用于多分类任务。,True
5, 激活函数为线性函数时，多层神经网络等价于单层网络。,True
6, 传统机器学习模型不需要特征工程。,False
7, 反向传播算法中需要先计算输出层的梯度，再逐层向前传递。,True
8, 均方误差损失函数适用于分类任务。,False
9, 池化层会改变特征图的通道数。,False
10,YOLO v1 的每个网格只能预测一个目标。,False
11, 全连接层可以直接处理三维张量而无需展平。,False
12, 平均池化在反向传播时均匀分配梯度。,True
13,LeNet5 的输出层使用 Softmax 函数。,True
14,AlexNet 的输入图像尺寸为 32×32。,False
15,YOLO v1 的置信度仅由预测框的坐标决定。,False
16, 非极大值抑制（NMS）用于训练阶段。,False
17,RNN 适合处理图像数据。,False
18,LSTM 通过门机制缓解了梯度消失问题。,True
19, 双向 RNN 的每个时间步输出同时依赖前文和后文。,True
20,PyTorch 中 LSTM 的 input_size 对应词向量的维度。,True
21, 命名实体识别任务只需最后一个时间步的输出。,False
22,CRF 层可以完全替代 BiLSTM 的作用。,False
23, 多层 RNN 的层数越多，模型性能一定越好。,False
24, 在 LSTM 中，输出门的计算依赖当前输入和上一时刻的隐藏状态。,True
25,Seq2Seq 只能用于机器翻译任务。,False
26, 编码器和解码器必须使用相同类型的 RNN 结构。,False
27,Teaching force 在测试阶段也会被使用。,False
28, 注意力机制会增加模型的计算量。,True
29, 解码器的输出序列长度必须与输入相同。,False
30, 双向 RNN 可以同时捕捉前后文信息。,True
31, 编码器的输出可以直接作为解码器的预测结果。,False
32, 在预测阶段，解码器需要逐步生成序列。,True
33, 对图像采样点值的离散化过程称为图像量化，图像量化实质上是用有限个数值来表示连续无限多的灰度值。,True
34, 全彩色处理针对灰度图像，基于一定指定规则对灰度值赋予颜色的处理。,False
35,HSI 模型与人描述和解释颜色的方式最接近，方便人为指定颜色。,True
36, 小波是一种特殊的长度有限的、平均值为零的波形。,True
37,CMYK 也称作印刷色彩模式，顾名思义就是用来印刷的。,True
38,RGB 空间分隔是在 RGB 空间中进行彩色图像分割，通常是选取一组主观感兴趣的彩色样点，获取该组样点的 “平均” 颜色，用代表 RGB 分量的向量来表示。,True
39, 空间域增强的常用方法有低通滤波、高通滤波、同态滤波等滤波方法。,False
40, 直方图均衡化，就是把一个已知灰度概率分布的图像，变换成具有均匀概率分布的新图像。,True
41, 频率域高通滤波就是为了消除模糊、突出边缘。,True
42, 图像数据冗余类别主要包括编码冗余、像素相关冗余、心理视觉冗余三种。,True
43, 灰度直方图能反映一幅图像各灰度级像元占图像的面积比。,True
44, 直方图均衡是一种点运算，图像的二值化则是一种局部运算。,False
45, 有选择保边缘平滑法可用于边缘增强。,False
46, 共点直线群的 Hough 变换是一条正弦曲线。,True
47, 边缘检测是将边缘像元标识出来的一种图像分割技术。,True
48, 图像锐化只能在空间域进行，无法在频率域实现。,False
49, 图像处理中常用的两种邻域是 4‑邻域和 8‑邻域。,True
50, 直方图修正法仅包括直方图均衡，无直方图规定化。,False
51, 常用的灰度内插法有最近邻元法、双线性内插法和（双）三次内插法。,True
52, 纹理分析法大体可分为区域分析法和边缘分析法两大类。,False
